trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-214.60971167017428,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-93.85229843929037,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-75.52996587402664,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-142.58337256693966,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-155.859426367094,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-90.05558524053811,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-97.4119464080848,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-131.88708253121465,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,15,2.194926808615134,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-61.20683052970231,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-85.1919127572347,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,13,-49.50736073297944,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-111.88045593274751,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-190.7406577126482,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-107.36516905260129,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-74.10400098430259,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-81.7204822627813,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-111.13378193160447,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-265.10549168981265,"{0: 11, 1: 5, 2: 9, 3: 2, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-150.97584540186926,"{0: 11, 1: 4, 2: 0, 3: 3, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-46.73061766707156,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",35,0,-240.6423704625743,"{0: 19, 1: 5, 2: 7, 3: 0, 4: 4}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",30,0,-194.8774368295625,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
